epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,93.5702,0.21735,0.30259,0.85506,0.81922,0.85,0.90093,0.79746,0.48404,0.63993,0.91935,0.0002774,0.0002774,0.0002774
89,94.4555,0.23241,0.30548,0.84758,0.89872,0.75,0.89897,0.78599,0.48549,0.65477,0.92076,0.0002576,0.0002576,0.0002576
90,95.4498,0.21427,0.29176,0.87585,0.93905,0.77112,0.90743,0.80434,0.47205,0.63296,0.91157,0.0002378,0.0002378,0.0002378
91,117.023,0.21763,0.45722,0.8169,0.93998,0.78379,0.91301,0.8245,0.4562,0.6174,0.90349,0.000218,0.000218,0.000218
92,118.449,0.19084,0.42181,0.8171,0.98484,0.85,0.94761,0.87752,0.4177,0.50138,0.88234,0.0001982,0.0001982,0.0001982
93,119.351,0.18181,0.37399,0.78776,1,0.89141,0.95932,0.88302,0.41239,0.49555,0.88263,0.0001784,0.0001784,0.0001784
94,120.265,0.20555,0.38597,0.79013,1,0.89432,0.96425,0.88993,0.40429,0.49079,0.88199,0.0001586,0.0001586,0.0001586
95,121.206,0.1996,0.3696,0.79917,1,0.89831,0.96633,0.89576,0.40828,0.46041,0.88181,0.0001388,0.0001388,0.0001388
96,122.128,0.18293,0.35368,0.78413,0.99647,0.9,0.97477,0.89769,0.41433,0.43393,0.88184,0.000119,0.000119,0.000119
97,123.014,0.18255,0.36323,0.79796,0.99653,0.9,0.97833,0.89698,0.41481,0.42506,0.88075,9.92e-05,9.92e-05,9.92e-05
98,123.911,0.18623,0.35152,0.80069,0.99798,0.9,0.97833,0.89863,0.41122,0.4299,0.8789,7.94e-05,7.94e-05,7.94e-05
99,124.871,0.17553,0.3427,0.81469,1,0.89932,0.97818,0.89606,0.40716,0.43374,0.87717,5.96e-05,5.96e-05,5.96e-05
100,125.826,0.17675,0.32831,0.81959,1,0.8963,0.97664,0.90942,0.40828,0.42813,0.87628,3.98e-05,3.98e-05,3.98e-05
